"filename", "language", "HTML", "Markdown", "TypeScript", "JSON with Comments", "JSON", "vue", "JavaScript", "CSS", "YAML", "comment", "blank", "total"
"d:\desktop\SchoolPeople_Manage\src\utils\request.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\desktop\SchoolPeople_Manage\src\views\403.vue", "vue", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 4, 55
"d:\desktop\SchoolPeople_Manage\src\views\404.vue", "vue", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 4, 55
"d:\desktop\SchoolPeople_Manage\src\views\charts.vue", "vue", 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 4, 124
"d:\desktop\SchoolPeople_Manage\src\views\dashboard.vue", "vue", 0, 0, 0, 0, 0, 270, 0, 0, 0, 0, 25, 295
"d:\desktop\SchoolPeople_Manage\src\views\editor.vue", "vue", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 4, 38
"d:\desktop\SchoolPeople_Manage\src\views\form.vue", "vue", 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 3, 157
"d:\desktop\SchoolPeople_Manage\src\views\home.vue", "vue", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 27
"d:\desktop\SchoolPeople_Manage\src\views\icon.vue", "vue", 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 4, 213
"d:\desktop\SchoolPeople_Manage\src\views\info.vue", "vue", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\desktop\SchoolPeople_Manage\src\views\login.vue", "vue", 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 7, 138
"d:\desktop\SchoolPeople_Manage\src\views\management\mobile_worker.vue", "vue", 0, 0, 0, 0, 0, 179, 0, 0, 0, 1, 12, 192
"d:\desktop\SchoolPeople_Manage\src\views\management\student.vue", "vue", 0, 0, 0, 0, 0, 179, 0, 0, 0, 1, 12, 192
"d:\desktop\SchoolPeople_Manage\src\views\management\stuff.vue", "vue", 0, 0, 0, 0, 0, 179, 0, 0, 0, 1, 12, 192
"d:\desktop\SchoolPeople_Manage\src\views\management\teacher.vue", "vue", 0, 0, 0, 0, 0, 206, 0, 0, 0, 1, 14, 221
"d:\desktop\SchoolPeople_Manage\src\views\permission.vue", "vue", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 11, 138
"d:\desktop\SchoolPeople_Manage\src\views\tabs.vue", "vue", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 5, 117
"d:\desktop\SchoolPeople_Manage\src\views\user.vue", "vue", 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 11, 175
"d:\desktop\SchoolPeople_Manage\src\vite-env.d.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 2, 10
"d:\desktop\SchoolPeople_Manage\tsconfig.json", "JSON with Comments", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"d:\desktop\SchoolPeople_Manage\tsconfig.node.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"d:\desktop\SchoolPeople_Manage\vite.config.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\desktop\SchoolPeople_Manage\文字资料\数据库定义.md", "Markdown", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 14, 78
"Total", "-", 0, 0, 0, 0, 0, 31, 177, 0, -10, 18, 19, 235
